date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:12	212908/212908	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:10%20GMT	https://www.iplt20.com/video/49960/m53-kkr-vs-pbks--dream11-gamechanger-of-the-match--varun-chakaravarthy	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/49960/m53-kkr-vs-pbks--dream11-gamechanger-of-the-match--varun-chakaravarthy.html	(from https://www.iplt20.com/video/49960/m53-kkr-vs-pbks--dream11-gamechanger-of-the-match--varun-chakaravarthy?tagNames=2023)
11:53:12	412/412	---MC-	404	error ('Not%20Found')	application/xml	date:Tue,%2005%20Nov%202024%2006:23:10%20GMT	https://documents.iplt20.com/resizedimageskirti/3588749423001/95df2e97-f07e-4648-829e-093ed5465d6d/22bd088c-eb43-470b-b587-4521828bb779/1200x627/match/image_compress.jpeg	C:/My%20Web%20Sites/ipl/documents.iplt20.com/resizedimageskirti/3588749423001/95df2e97-f07e-4648-829e-093ed5465d6d/22bd088c-eb43-470b-b587-4521828bb779/1200x627/match/image_compress.11aa.delayed	(from https://www.iplt20.com/video/49960/m53-kkr-vs-pbks--dream11-gamechanger-of-the-match--varun-chakaravarthy?tagNames=2023)
11:53:12	170036/170036	---M--	200	added ('OK')	application/octet-stream	etag:%229fd881a11081619a2d3d038b5549a3b1%22	https://documents.iplt20.com/resizedimageskirti/3588749423001/95df2e97-f07e-4648-829e-093ed5465d6d/22bd088c-eb43-470b-b587-4521828bb779/1280x720/match/image_compress.jpeg	C:/My%20Web%20Sites/ipl/documents.iplt20.com/resizedimageskirti/3588749423001/95df2e97-f07e-4648-829e-093ed5465d6d/22bd088c-eb43-470b-b587-4521828bb779/1280x720/match/image_compress.jpeg	(from https://www.iplt20.com/video/49960/m53-kkr-vs-pbks--dream11-gamechanger-of-the-match--varun-chakaravarthy?tagNames=2023)
11:53:14	212539/212539	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:13%20GMT	https://www.iplt20.com/video/49926/m53-kkr-vs-pbks--varun-chakaravarthy-interview	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/49926/m53-kkr-vs-pbks--varun-chakaravarthy-interview.html	(from https://www.iplt20.com/video/49926/m53-kkr-vs-pbks--varun-chakaravarthy-interview?tagNames=2023)
11:53:15	222091/222091	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/666851a8-5551-4a69-9cfb-2b61449605ee/fa1708e4-c6fc-4c56-8505-5c4b11cb8bde/1200x627/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/666851a8-5551-4a69-9cfb-2b61449605ee/fa1708e4-c6fc-4c56-8505-5c4b11cb8bde/1200x627/match/image.jpg	(from https://www.iplt20.com/video/49926/m53-kkr-vs-pbks--varun-chakaravarthy-interview?tagNames=2023)
11:53:16	269441/269441	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/666851a8-5551-4a69-9cfb-2b61449605ee/fa1708e4-c6fc-4c56-8505-5c4b11cb8bde/1280x720/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/666851a8-5551-4a69-9cfb-2b61449605ee/fa1708e4-c6fc-4c56-8505-5c4b11cb8bde/1280x720/match/image.jpg	(from https://www.iplt20.com/video/49926/m53-kkr-vs-pbks--varun-chakaravarthy-interview?tagNames=2023)
11:53:17	212473/212473	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:16%20GMT	https://www.iplt20.com/video/49929/varun-chakaravarthy-pegs-pbks-back-with-326	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/49929/varun-chakaravarthy-pegs-pbks-back-with-326.html	(from https://www.iplt20.com/video/49929/varun-chakaravarthy-pegs-pbks-back-with-326?tagNames=2023)
11:53:18	555820/555820	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/ef8c6a3e-eadd-489b-b00b-8893bca5d77c/4ed3bc44-34fd-421a-9ca6-1f73cc7e2976/1280x720/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/ef8c6a3e-eadd-489b-b00b-8893bca5d77c/4ed3bc44-34fd-421a-9ca6-1f73cc7e2976/1280x720/match/image.jpg	(from https://www.iplt20.com/video/49929/varun-chakaravarthy-pegs-pbks-back-with-326?tagNames=2023)
11:53:18	494952/494952	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/ef8c6a3e-eadd-489b-b00b-8893bca5d77c/4ed3bc44-34fd-421a-9ca6-1f73cc7e2976/1200x627/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/ef8c6a3e-eadd-489b-b00b-8893bca5d77c/4ed3bc44-34fd-421a-9ca6-1f73cc7e2976/1200x627/match/image.jpg	(from https://www.iplt20.com/video/49929/varun-chakaravarthy-pegs-pbks-back-with-326?tagNames=2023)
11:53:19	149004/149004	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:18%20GMT	https://www.iplt20.com/news/4003/tata-ipl-2024-match-04-rr-vs-lsg-match-report	C:/My%20Web%20Sites/ipl/www.iplt20.com/news/4003/tata-ipl-2024-match-04-rr-vs-lsg-match-report.html	(from https://www.iplt20.com/teams/lucknow-super-giants/news/Latest)
11:53:19	77552/77552	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2016:36:34%20GMT	https://assets.iplt20.com/bcci/articles/1711288734_Boult%20early%20strikes.jpeg	C:/My%20Web%20Sites/ipl/assets.iplt20.com/bcci/articles/1711288734_Boult%20early%20strikes.jpeg	(from https://www.iplt20.com/teams/lucknow-super-giants/news/Latest)
11:53:20	149657/149657	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:19%20GMT	https://www.iplt20.com/news/3973/tata-ipl-2023-eliminator-lsg-vs-mi-match-report	C:/My%20Web%20Sites/ipl/www.iplt20.com/news/3973/tata-ipl-2023-eliminator-lsg-vs-mi-match-report.html	(from https://www.iplt20.com/teams/lucknow-super-giants/news/Latest)
11:53:20	97286/97286	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2016:35:31%20GMT	https://assets.iplt20.com/bcci/articles/1684951680_Arjun309_1853.jpg	C:/My%20Web%20Sites/ipl/assets.iplt20.com/bcci/articles/1684951680_Arjun309_1853.jpg	(from https://www.iplt20.com/teams/lucknow-super-giants/news/Latest)
11:53:22	147899/147899	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:20%20GMT	https://www.iplt20.com/news/3956/tata-ipl-2023-match-58-srh-vs-lsg-match-report	C:/My%20Web%20Sites/ipl/www.iplt20.com/news/3956/tata-ipl-2023-match-58-srh-vs-lsg-match-report.html	(from https://www.iplt20.com/teams/lucknow-super-giants/news/Latest)
11:53:22	80350/80350	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2016:37:49%20GMT	https://assets.iplt20.com/bcci/articles/1683985998_ALI14_21536.jpg	C:/My%20Web%20Sites/ipl/assets.iplt20.com/bcci/articles/1683985998_ALI14_21536.jpg	(from https://www.iplt20.com/teams/lucknow-super-giants/news/Latest)
11:53:24	149396/149396	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:23%20GMT	https://www.iplt20.com/news/3934/tata-ipl-2023-match-43-lsg-vs-rcb-match-report	C:/My%20Web%20Sites/ipl/www.iplt20.com/news/3934/tata-ipl-2023-match-43-lsg-vs-rcb-match-report.html	(from https://www.iplt20.com/teams/lucknow-super-giants/news/match-reports)
11:53:25	104912/104912	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2016:34:37%20GMT	https://assets.iplt20.com/bcci/articles/1682965727_IPLDM__7061.jpg	C:/My%20Web%20Sites/ipl/assets.iplt20.com/bcci/articles/1682965727_IPLDM__7061.jpg	(from https://www.iplt20.com/teams/lucknow-super-giants/news/match-reports)
11:53:29	212915/212915	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:23:26%20GMT	https://www.iplt20.com/video/57925/m67-mi-vs-lsg--nicholas-pooran-interview	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/57925/m67-mi-vs-lsg--nicholas-pooran-interview.html	(from https://www.iplt20.com/video/57925/m67-mi-vs-lsg--nicholas-pooran-interview?tagNames=2024)
